names,lunknown,runknown,lbankssts,rbankssts,lcaudalanteriorcingulate,rcaudalanteriorcingulate,lcaudalmiddlefrontal,rcaudalmiddlefrontal,lcorpuscallosum,rcorpuscallosum,lcuneus,rcuneus,lentorhinal,rentorhinal,lfusiform,rfusiform,linferiorparietal,rinferiorparietal,linferiortemporal,rinferiortemporal,listhmuscingulate,risthmuscingulate,llateraloccipital,rlateraloccipital,llateralorbitofrontal,rlateralorbitofrontal,llingual,rlingual,lmedialorbitofrontal,rmedialorbitofrontal,lmiddletemporal,rmiddletemporal,lparahippocampal,rparahippocampal,lparacentral,rparacentral,lparsopercularis,rparsopercularis,lparsorbitalis,rparsorbitalis,lparstriangularis,rparstriangularis,lpericalcarine,rpericalcarine,lpostcentral,rpostcentral,lposteriorcingulate,rposteriorcingulate,lprecentral,rprecentral,lprecuneus,rprecuneus,lrostralanteriorcingulate,rrostralanteriorcingulate,lrostralmiddlefrontal,rrostralmiddlefrontal,lsuperiorfrontal,rsuperiorfrontal,lsuperiorparietal,rsuperiorparietal,lsuperiortemporal,rsuperiortemporal,lsupramarginal,rsupramarginal,lfrontalpole,rfrontalpole,ltemporalpole,rtemporalpole,ltransversetemporal,rtransversetemporal,linsula,rinsula
G3_F_14_T1,1.9313,NaN,2.6541,2.5920,3.1171,2.4886,2.6396,2.5283,NaN,NaN,1.8914,1.9222,3.6154,3.9875,2.5078,2.6860,2.4423,2.4768,2.6959,2.6769,2.3844,2.4823,2.2096,2.1655,2.6948,2.6419,1.9648,2.0006,2.3043,2.4993,2.7891,2.7769,2.5607,2.5415,2.3068,2.2326,2.5233,2.5350,2.6293,2.6661,2.4387,2.6357,1.6087,1.6302,1.9406,1.9063,2.4658,2.2866,2.4594,2.2567,2.4260,2.3472,2.5391,2.7292,2.4308,2.4050,2.6842,2.6804,2.2544,2.2273,2.6978,2.8674,2.4064,2.4057,2.5882,2.5670,3.5293,4.2379,2.3939,2.5109,3.0297,3.2030
G3_F_17_T1,2.3448,NaN,2.5625,2.5948,2.5158,2.1253,2.4203,2.5695,NaN,NaN,1.8033,1.7538,3.2982,3.3822,2.5671,2.5681,2.5061,2.4273,2.5230,2.6564,2.2938,2.4096,2.0445,2.0340,2.5725,2.4779,1.9835,1.9553,2.2286,2.2903,2.7094,2.7715,2.2206,2.4218,1.8594,1.8488,2.4994,2.5303,2.6065,2.5371,2.4356,2.4057,1.5698,1.2972,2.0404,2.0134,2.3304,2.1714,2.0638,1.8588,2.3017,2.3238,2.6461,2.7148,2.3249,2.4094,2.5645,2.6464,2.2583,2.2538,2.7858,2.7853,2.4515,2.4422,2.4397,2.4152,3.6797,3.2007,1.9177,2.0988,2.9692,3.0682
G3_F_18_T1,2.4674,NaN,2.3959,2.5467,2.6657,2.4184,2.4794,2.6540,NaN,NaN,1.9813,1.9517,3.4957,3.2300,2.4117,2.4668,2.5169,2.5383,2.7095,2.8088,2.0102,1.8952,2.2734,2.1848,2.5223,2.6358,2.0284,1.9986,2.2855,2.5138,2.7941,2.8450,2.1792,2.3633,2.4870,2.4317,2.5944,2.5822,2.6404,2.5802,2.5471,2.6586,1.8747,1.7147,2.2225,2.1761,2.3193,2.1618,2.4207,2.3888,2.4355,2.4666,2.6215,2.6966,2.4495,2.4605,2.6695,2.7145,2.3435,2.3366,2.9028,2.8064,2.5558,2.4925,2.4588,2.5703,3.2530,2.8366,2.4092,2.3588,3.2563,3.1134
G3_F_20_T1,2.4122,NaN,2.6268,2.9364,2.8997,2.7134,2.7034,2.6858,NaN,NaN,2.0087,1.8951,3.3380,3.6617,2.8171,2.7904,2.5468,2.5523,2.7753,2.8154,1.9466,2.3730,2.0789,2.1865,2.6750,2.9389,1.9819,1.9259,2.3125,2.3908,2.8915,2.9667,2.4279,2.8470,2.3375,2.3405,2.8058,2.7860,2.7426,2.7070,2.5928,2.6368,1.6540,1.5507,2.0447,1.9665,2.3806,2.5114,2.4808,2.3835,2.4735,2.4274,2.7308,2.6262,2.5452,2.5243,2.8166,2.7839,2.3051,2.3132,2.8670,2.9914,2.7169,2.6187,2.7805,2.6068,4.0287,3.4380,2.1047,2.2155,3.1169,3.2574
G3_M_01_T1,1.4692,NaN,2.6891,2.6476,2.3596,2.2799,2.4647,2.5692,NaN,NaN,1.6817,1.9390,3.8152,3.5899,2.5536,2.5115,2.5164,2.5356,2.7776,2.7706,2.2971,2.3634,2.0983,2.1453,2.6676,2.6061,1.8933,1.8603,2.3526,2.5594,2.7609,2.7579,2.2425,2.5106,2.2838,2.2470,2.5507,2.5791,2.5421,2.6637,2.5462,2.5163,1.4727,1.4198,2.0390,1.9470,2.2653,2.2782,2.2400,2.2716,2.4520,2.4653,2.4656,2.6900,2.4190,2.4358,2.6010,2.6410,2.3228,2.2939,2.6611,2.7136,2.5051,2.4790,2.5010,2.7510,3.6042,3.4658,2.0282,2.1012,3.1098,3.2140
G3_M_03_T1,2.0192,NaN,2.5367,2.5962,2.2906,2.6843,2.5999,2.6186,NaN,NaN,1.7875,1.7891,3.6812,4.0039,2.5523,2.4817,2.4688,2.5588,2.8473,2.9021,2.3187,2.2298,2.2042,2.1468,2.6552,2.8019,2.0020,1.9332,2.3620,2.5224,3.0246,3.0217,2.4124,2.4017,2.2263,2.1100,2.5491,2.5455,2.7154,2.6108,2.5617,2.6505,1.4484,1.5244,1.8367,1.7676,2.3429,2.2883,2.2278,2.1147,2.3543,2.2598,2.8688,2.6241,2.4534,2.5200,2.7847,2.7545,2.2169,2.1219,2.8123,2.9043,2.5306,2.5464,2.9218,2.6907,4.1188,4.1297,2.0735,2.2877,3.0515,3.1973
G3_M_04_T1,1.2475,NaN,2.5543,2.6249,2.3651,2.4276,2.6509,2.6044,NaN,NaN,2.1651,2.0401,3.6534,3.3598,2.6127,2.5535,2.4545,2.6265,2.9020,2.7882,2.3020,2.4342,2.2774,2.1761,2.7488,2.7045,1.9707,1.9363,2.2499,2.3988,2.9152,2.9303,2.4442,2.4344,2.3818,2.2622,2.6272,2.7366,2.7940,2.6613,2.4242,2.4248,1.6094,1.3866,2.0548,2.0882,2.3688,2.4155,2.4089,2.4133,2.4416,2.5448,2.4816,2.4282,2.4785,2.5388,2.7549,2.7223,2.3212,2.3425,2.7390,2.7146,2.5521,2.5487,2.6937,2.4323,4.0592,3.7051,2.1895,2.2918,3.1280,3.2824
G3_M_05_T1,1.7406,NaN,2.4410,2.3844,2.3209,2.3852,2.6002,2.4682,NaN,NaN,1.7285,1.9059,3.4662,3.2608,2.6689,2.6322,2.3330,2.3801,2.7399,2.7361,2.2946,2.3117,2.0848,2.2026,2.7623,2.7443,2.0004,1.9164,2.3002,2.3179,2.6878,2.7833,2.2802,2.3835,2.5053,2.3490,2.6352,2.5379,2.5680,2.5740,2.4044,2.4342,1.5991,1.6368,2.0180,2.0234,2.4087,2.3525,2.3426,2.2902,2.3318,2.3374,2.3594,2.3470,2.4460,2.3913,2.6891,2.7186,2.1437,2.1676,2.7460,2.8729,2.4808,2.4266,2.6197,2.5720,3.7499,3.7490,2.3470,1.9489,3.0838,3.1927
G3_M_06_T1,1.6933,NaN,2.7076,2.8681,2.6707,2.2561,2.6605,2.6465,NaN,NaN,1.9922,2.0529,3.3317,3.9126,2.7237,2.6473,2.4330,2.5749,2.7357,2.8185,2.5456,2.5232,2.3265,2.3363,2.6360,2.6599,2.0427,2.0307,2.3985,2.5230,3.0126,2.9431,2.6042,2.7535,2.4482,2.3852,2.5907,2.7387,2.6879,2.7601,2.6131,2.5526,1.6144,1.5980,2.1821,2.1375,2.4044,2.5282,2.4609,2.5150,2.4605,2.4723,2.5916,2.5636,2.4879,2.5255,2.7414,2.7694,2.2705,2.2937,2.9276,2.9857,2.5471,2.6081,2.7547,2.6738,3.9007,4.1765,2.3143,2.3704,3.2060,3.0766
G3_M_07_T1,1.8276,NaN,2.3582,2.6782,2.5468,2.0935,2.4824,2.4477,NaN,NaN,1.9661,2.0453,3.3665,3.6691,2.5757,2.4775,2.4310,2.4826,2.6924,2.6367,2.2764,2.3109,2.2586,2.2550,2.5918,2.5923,2.1342,1.9362,2.2485,2.3955,2.7562,2.8267,2.4028,2.3142,2.2209,2.3200,2.4837,2.5173,2.6355,2.6067,2.4986,2.3906,1.6569,1.4517,2.0144,2.0192,2.3753,2.2819,2.2279,2.1478,2.4052,2.3948,2.3941,2.6559,2.3413,2.3340,2.6596,2.6357,2.2407,2.3273,2.7311,2.8216,2.4549,2.5055,2.3763,2.5056,3.3204,3.7453,2.2614,2.4790,2.9502,3.1120
